,SUPERFICIE_VETRATA_OPACA,ALTEZZA_EDIFICIO,DEGREE_DAYS,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_SERRAMENTO,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_BASAMENTO,SUPERFICIE_NETTA,VOLUME_NETTO,NEW_CODE_PROVINCIA,SUPERFICIE_OPACA,ANNO_CODE,NUMERO_GENERATORI,ETH,CLASSE_ENERGETICA
299,0.0603,4.36,2557.0,0.207,1.247,0.2299,0.2168,161.79,511.37,1.0002,482.8897,1.0005,1,33.3113,2
668,0.0723,4.06,3064.0,0.185,0.9472,0.1764,0.129,79.6,208.68,1.0004,295.1177,1.0005,1,24.8922,2
887,0.0856,4.24,4648.0,0.1857,0.7648,0.2371,0.2118,266.47,701.21,1.0004,743.2484,1.0005,1,39.9428,2
1036,0.0626,3.63,2514.0,0.16,1.7725,0.1988,0.2526,109.32,263.64,1.0003,279.41740000000004,1.0005,1,39.9799,2
1081,0.0551,3.83,2479.0,0.224,1.6378,0.2721,0.2589,177.3,457.97,1.0012,394.1249,1.0005,2,29.7695,2
1247,0.1045,4.34,2761.0,0.198,1.3628,0.1794,0.2633,100.518,271.399,1.0009,308.10350000000005,1.0005,1,42.5764,2
1458,0.0578,4.03,2404.0,0.17,1.4368,0.1843,0.183,150.27,391.13,1.0002,471.0642,1.0005,2,34.4039,2
1572,4.8194,4.1,2404.0,0.272,0.4525,0.2533,0.2786,6676.38,18026.226,1.0002,9841.5505,1.0005,1,22.8478,2
1988,0.1303,3.6,2416.0,0.2424,0.9902,0.1666,0.2,140.26,352.39,1.0003,217.5817,1.0005,1,17.6776,1
2182,0.1009,4.16,2623.0,0.2151,1.1518,0.225,0.2708,118.5,340.68,1.0002,247.8841,1.0005,1,37.0273,2
2261,0.0666,4.58,2544.0,0.12,1.1771,0.1749,0.165,103.23,264.93,1.0012,319.5134,1.0005,2,44.1908,2
2288,0.0811,3.49,2646.0,0.3118,1.6564,0.3517,0.516,1281.07,2933.58,1.0008,2921.1239,1.0005,2,48.0235,2
2427,0.0791,4.03,2265.0,0.189,1.5109,0.2573,0.315,494.0,1325.76,1.0007,1283.5009,1.0005,3,35.4783,2
2776,0.0612,3.82,2428.0,0.1939,1.1877,0.2147,0.2618,130.78,322.21,1.0012,257.0588,1.0005,2,31.8004,2
2833,0.0512,4.25,2570.0,0.1856,1.5233,0.2773,0.2761,237.45,581.84,1.0007,570.6588,1.0005,1,40.9039,2
3095,0.1021,4.22,2409.0,0.1718,1.3198,0.2443,0.3133,343.66,927.89,1.0005,977.5479,1.0005,1,45.6849,2
3296,0.0656,3.78,2702.0,0.252,1.3609,0.7268,0.325,135.414,379.971,1.0009,337.3854,1.0005,1,84.3242,2
3334,0.1098,3.82,2602.0,0.222,1.3509,0.2875,0.3,160.793,411.443,1.0009,419.9502,1.0005,1,18.3246,2
3350,0.0625,5.11,2410.0,0.221,1.5366,0.2026,0.202,113.7,344.0,1.0007,351.3065,1.0003,2,36.77,2
3368,0.0805,4.38,2432.0,0.293,1.4811,0.2841,0.377,74.0,199.8,1.0012,204.4695,1.0005,1,25.5908,2
3416,0.086,2.76,2553.0,0.26,1.23,0.3443,0.633,133.5,272.65,1.0003,176.60399999999998,1.0005,1,19.0856,2
3649,0.0615,5.5,2623.0,0.174,1.392,0.294,0.156,66.3,254.28,1.0011,139.6685,1.0,1,40.0033,2
3783,0.0752,5.08,2505.0,0.169,1.3169,0.1721,0.192,82.43,222.549,1.0012,252.2128,1.0005,2,23.9911,2
3902,0.0845,4.3,2594.0,0.232,1.8489,0.3272,0.232,345.05,931.74,1.0003,912.9055,1.0005,1,34.6488,2
3955,0.1991,4.32,2355.0,0.209,1.4809,0.2413,0.1776,1129.8,3044.4,1.0007,3172.0309,1.0005,2,30.4257,2
4152,0.1325,4.12,2404.0,0.203,0.8878,0.3577,0.24,1890.65,4770.12,1.0002,3764.4095,1.0005,2,23.7294,2
4695,0.0465,4.32,3322.0,0.4413,1.79,0.3424,0.362,399.52,1336.05,1.0007,260.36350000000004,1.0005,1,47.6642,1
5027,0.1217,4.91,2581.0,0.247,1.3549,0.2781,0.3,212.6,638.0,1.0008,665.7383,1.0002,1,21.1724,2
5700,0.1493,3.5,2532.0,0.2341,1.2011,0.2324,0.256,216.59,574.35,1.0005,453.5307,1.0005,1,43.0931,1
5771,0.0963,4.28,2404.0,0.4117,1.5799,0.2662,0.3,6118.43,16519.79,1.0002,10367.0627,1.0005,1,36.7092,2
5984,0.047,3.41,2572.0,0.161,1.3852,0.1938,0.165,148.04,473.95,1.0009,539.0079999999999,1.0005,1,33.3452,2
6047,0.0885,5.13,2410.0,0.234,1.43,0.2924,0.5536,446.24,1410.1,1.0005,1316.1815,1.0005,1,46.7679,2
6101,0.0772,3.88,2389.0,0.106,1.1868,0.136,0.749,164.61,427.581,1.0006,409.8328,1.0003,1,34.2625,2
6154,0.0899,4.3,2265.0,0.257,1.3654,0.2818,0.26,112.5,304.0,1.0007,322.4001,1.0005,1,32.3228,2
6192,0.0438,4.32,2570.0,0.315,1.1166,0.4324,0.3472,172.28,444.76,1.0007,466.0162,1.0005,1,54.1718,2
6206,0.0873,5.36,2265.0,0.1274,1.2493,0.275,0.1347,372.14,1214.22,1.0007,1563.3567,1.0005,1,27.931,2
6225,0.0851,3.83,2521.0,0.2411,1.2528,0.2179,0.3067,211.42,542.47,1.0005,592.0349,1.0005,1,38.7647,2
6308,0.17,3.98,2404.0,0.1807,1.1893,0.1958,0.227,2674.17,7258.96,1.0005,4539.967,1.0005,2,19.6078,2
6345,0.0973,4.47,2435.0,0.18,1.6563,0.2295,0.44,237.0,651.8,1.001,621.9727,1.0005,1,79.8223,2
6396,0.0883,5.86,2388.0,0.1259,1.1569,0.1663,0.12,138.4,561.4,1.001,417.3917,1.0005,1,39.8241,1
6593,0.1023,4.56,2640.0,0.1852,1.0115,0.2031,0.1502,353.27,996.63,1.0003,848.2577,1.0005,1,41.5451,2
6612,0.1141,4.31,2404.0,0.1925,1.2633,0.2511,0.1864,1808.33,4827.28,1.0002,4017.1029,1.0005,3,38.7481,2
6757,0.0808,4.04,2516.0,0.206,1.2623,0.2281,0.188,106.7,288.7,1.0012,193.4692,1.0005,1,39.4012,2
6782,0.0974,4.55,2541.0,0.2081,1.0934,0.2191,0.4914,313.04,950.3,1.0007,862.4156,1.0005,1,48.4204,2
6833,0.0798,4.04,2409.0,0.201,1.195,0.2578,0.244,181.45,467.63,1.0005,406.8502,1.0005,1,34.3393,2
7192,0.0955,4.44,2651.0,0.149,0.8619,0.1683,0.299,145.19,433.74,1.0009,473.4245,1.0005,2,32.979,2
7245,0.06,3.59,2477.0,0.255,0.9819,0.1587,0.3473,120.0,323.99,1.0012,490.378,1.0003,1,35.0368,2
7362,0.0424,4.42,2557.0,0.1205,1.314,0.1647,0.109,259.41,677.45,1.0006,793.5376,1.0005,2,42.0337,2
7481,0.0995,3.6,2562.0,0.2071,1.1062,0.2452,0.306,467.333,1152.091,1.0009,1125.2035,1.0005,2,45.434,2
7680,0.0553,4.48,2437.0,0.2089,1.4101,0.2819,0.2807,128.26,409.31,1.0012,368.7047,1.0005,1,35.7656,2
8187,0.0647,4.83,2363.0,0.205,1.3587,0.165,0.201,249.72,794.11,1.001,646.3108,1.0005,1,45.3588,1
8223,0.0778,4.2,2352.0,0.2542,1.5632,0.3025,0.2886,227.42,635.16,1.0009,660.7622,1.0003,1,30.4508,2
8767,0.0588,5.06,2388.0,0.205,1.2205,0.2474,0.2638,117.3,409.68,1.001,336.5612,1.0005,1,40.646,2
8940,0.1169,3.96,2427.0,0.2419,1.3037,0.251,0.3168,1283.28,3411.79,1.0003,2283.3661,1.0005,3,21.8631,2
9474,0.0845,4.25,2410.0,0.21,0.8053,0.1517,0.14,212.87,553.41,1.0007,592.3655,1.0005,1,25.5271,1
9769,0.0766,4.12,2404.0,0.2371,1.2589,0.2599,0.222,361.18,971.405,1.0005,979.4214,1.0005,1,39.5622,2
10236,0.0724,4.07,2448.0,0.184,1.2307,0.3429,0.2452,149.35,397.27,1.0002,379.8676,1.0005,2,43.4438,2
10296,0.0685,4.29,2595.0,0.1851,1.5276,0.2714,0.1852,158.396,424.558,1.0008,452.5095,1.0005,1,43.0928,2
10832,0.2389,4.0,2594.0,0.359,1.0325,0.2332,0.192,130.07,351.19,1.0003,198.3011,1.0005,1,29.011,2
10838,0.056,4.05,2383.0,0.302,1.0987,0.4268,0.2918,213.9,568.64,1.0012,632.7139999999999,1.0003,1,56.5357,2
10846,0.0859,4.09,2559.0,0.153,1.6388,0.2078,0.1879,230.0,621.0,1.0012,785.5011,1.0005,1,36.9999,2
10885,0.0567,3.76,2355.0,0.193,2.0607,0.2053,0.2365,125.52,290.4,1.0003,212.6833,1.0005,1,21.0041,2
11507,0.1075,3.99,2404.0,0.2443,2.0642,0.2647,0.274,1381.49,3729.99,1.0002,3054.7625,1.0005,1,34.8252,2
11536,0.0924,4.09,2541.0,0.2007,1.3648,0.1763,0.135,390.5,1047.0,1.0007,1003.2976,1.0004,1,50.1445,1
11578,0.0251,4.75,2646.0,0.252,1.1998,0.2886,0.485,123.76,387.5,1.0004,508.2049,1.0005,1,49.5106,2
11699,0.0484,3.95,2229.0,0.184,1.4595,0.2398,0.178,85.57,227.75,1.0007,243.7676,1.0005,1,42.6399,2
11792,0.0651,4.33,2410.0,0.175,1.2313,0.1965,0.17,168.63,494.14,1.0007,501.4949,1.0005,2,34.8494,2
11976,0.2293,4.17,2507.0,0.252,1.2299,0.186,0.152,114.699,350.507,1.0009,199.1557,1.0005,1,17.2928,2
12225,5.1433,4.1,2404.0,0.256,0.467,0.2533,0.2786,6675.07,18026.224,1.0002,9841.2266,1.0005,1,22.4434,2
12241,0.0412,3.95,2428.0,0.226,1.4576,0.2637,0.2076,165.25,436.69,1.0012,567.0988,1.0005,1,38.6202,2
12289,0.0615,2.63,2477.0,0.253,1.8936,0.2932,0.3931,127.02,277.9,1.0008,208.9085,1.0005,1,20.9232,2
12711,0.0503,4.27,2619.0,0.2443,1.1675,0.1323,0.139,158.37,482.6,1.0002,558.4797,1.0005,1,37.5512,2
12732,0.0964,3.83,2399.0,0.278,1.4054,0.239,0.284,147.4,397.0,1.0007,364.3536,1.0005,1,33.3628,2
12773,0.0659,4.04,2909.0,0.2,1.2954,0.2225,0.29,64.04,163.35,1.0009,146.4141,1.0005,1,30.9494,2
12907,0.1409,4.3,2557.0,0.268,1.249,0.2933,0.2998,1518.34,4246.34,1.0002,3067.2491,1.0005,2,68.6986,2
12960,0.1592,4.17,2861.0,0.1762,1.5469,0.2857,0.2167,2722.42,7536.83,1.0009,5206.1858,1.0005,3,50.8131,2
13007,0.1565,4.06,2375.0,0.239,1.3532,0.232,0.3955,79.07,213.48,1.0012,195.2385,1.0005,1,30.6359,2
13174,0.0504,4.43,2608.0,0.192,1.0437,0.28,0.3067,170.68,438.6,1.0009,564.1203,1.0005,1,54.2274,1
13202,0.0656,4.18,2557.0,0.1699,1.2119,0.1878,0.2139,136.1,349.03,1.0006,371.2044,1.0005,2,39.2259,2
13492,0.0803,4.03,2404.0,0.15,1.7832,0.1619,0.24,1717.86,4810.5,1.0002,3631.0297,1.0005,2,38.8437,2
13718,0.092,3.76,2750.0,0.3607,1.5164,0.3345,0.4827,888.49,2402.82,1.0008,1908.772,1.0005,1,43.2354,2
13864,0.1281,3.59,2620.0,0.217,2.2999,0.5172,0.5126,376.934,1032.2,1.0009,954.6919,1.0005,1,68.9628,2
13924,0.0474,4.48,2388.0,0.26,1.5942,0.2803,0.29,72.75,196.4,1.001,254.5826,1.0005,2,35.6687,2
14144,0.103,5.23,2389.0,0.2431,1.391,0.2332,0.196,223.39,603.15,1.0006,833.142,1.0005,1,64.7146,2
14405,0.08,4.83,2404.0,0.249,1.5379,0.2522,0.2805,98.61,266.18,1.0002,357.3,1.0005,2,59.3919,2
14490,0.0577,4.4,2377.0,0.252,2.1395,0.2853,0.581,72.26,207.69,1.0007,183.0553,1.0005,3,36.0274,2
14694,0.0977,4.4,2449.0,0.1756,0.8984,0.2843,0.3662,196.0,562.1,1.0008,640.8523,1.0002,1,45.9036,2
14894,0.0844,4.34,2592.0,0.186,1.0924,0.1935,0.1497,270.82,731.214,1.0001,613.8756000000001,1.0005,3,45.0198,2
14911,0.1328,4.75,2404.0,0.2419,1.5178,0.2269,0.133,1676.64,4526.92,1.0002,3960.7572,1.0005,1,35.0268,2
15123,0.1405,4.14,2404.0,0.2193,0.9825,0.2892,0.2119,3290.81,8667.93,1.0002,5982.9795,1.0005,3,34.6806,2
15130,0.0762,4.23,2383.0,0.291,1.3876,0.2488,0.3266,214.915,582.653,1.0008,603.5478,1.0005,2,39.0188,2
15425,0.1198,4.61,2592.0,0.2473,0.828,0.1612,0.1832,246.59,696.72,1.0001,910.1702,1.0005,1,46.5745,2
15515,0.0901,4.38,2500.0,0.2176,1.3285,0.172,0.14,79.82,213.02,1.0012,179.1499,1.0005,1,22.8426,1
16076,0.1139,4.06,2524.0,0.209,1.4716,0.5069,0.2387,414.6,1112.6,1.0003,987.6951,1.0003,1,51.7987,2
16090,0.0629,4.43,2362.0,0.239,1.3843,0.3505,0.2352,138.42,373.73,1.0008,476.2171,1.0,2,46.5064,2
16159,0.114,4.88,2228.0,0.1256,1.7906,0.3297,0.616,1475.66,4137.6401,1.0003,3212.396,1.0005,2,29.1562,2
16346,0.1496,3.59,2404.0,0.224,1.6013,0.2263,0.2848,1509.85,4004.84,1.0002,1899.9504,1.0005,1,19.9162,2
16549,0.0551,4.5,2410.0,0.1538,1.407,0.2217,0.1766,92.46,249.65,1.0007,289.8949,1.0005,2,42.9965,2
16748,0.0759,4.09,2383.0,0.217,1.3392,0.2913,0.237,237.705,625.828,1.0012,574.1741,1.0005,1,38.5984,2
16853,0.0802,3.76,2544.0,0.24,0.7362,0.2288,0.427,195.525,537.279,1.0011,483.6998,1.0005,1,37.0854,2
16937,0.0707,4.32,2617.0,0.2753,1.2136,0.2185,0.2318,366.919,956.053,1.0002,1021.2393,1.0005,2,29.3537,2
16952,0.0589,3.7,2597.0,0.184,1.7116,0.2206,0.295,177.01,477.92,1.0007,399.2511,1.0005,1,30.7779,2
17083,0.0912,4.12,2597.0,0.193,0.7948,0.2728,0.249,107.8,291.06,1.0007,280.2938,1.0005,1,23.5118,2
17495,0.1162,3.94,2404.0,0.168,1.0948,0.2416,0.144,211.74,566.59,1.0002,403.9346,1.0005,1,31.5666,2
17521,0.2126,3.96,2861.0,0.489,1.5289,0.3367,0.192,151.52,431.83,1.0009,224.2074,1.0005,3,46.5271,2
17528,0.0677,3.81,2533.0,1.031,1.4341,0.5083,1.031,128.73,347.57,1.0012,486.6823,1.0005,1,13.9765,2
17615,0.0599,3.92,2540.0,0.176,1.5924,0.2229,0.125,91.43,217.49,1.0003,253.8001,1.0005,1,70.6177,2
17850,0.068,3.79,2404.0,0.193,1.3164,0.2008,0.1613,89.52,230.82,1.0002,241.492,1.0005,1,33.2218,2
17869,0.1444,3.72,2404.0,0.54,2.1805,0.2175,0.19,916.07,2421.813,1.0002,1766.0146000000002,1.0,1,34.0427,2
18267,0.0788,3.76,2383.0,0.3194,1.1752,0.3058,0.2791,187.06,492.33,1.0007,409.3312,1.0005,2,36.7418,2
18398,0.0964,3.91,2545.0,0.2148,1.4291,0.2667,0.205,1379.87,3574.18,1.0002,2600.2096,1.0005,2,28.9365,1
18492,0.0938,5.0,2416.0,0.206,1.2406,0.204,0.154,78.93,245.45,1.0002,200.0022,1.0005,1,27.4724,2
18531,0.0521,4.53,2505.0,0.2218,1.055,0.2823,0.2396,177.5,498.33,1.0002,594.2079,1.0005,1,45.886,2
18675,0.1201,4.26,2404.0,0.1445,1.4781,0.246,0.2577,947.59,2638.53,1.0002,2259.7099,1.0005,2,49.5408,2
18693,0.0584,5.11,2437.0,0.191,1.3887,0.3017,0.3063,158.36,597.76,1.0012,511.3516,1.0005,1,43.545,2
19037,0.0454,4.54,2462.0,0.212,1.5986,0.2518,0.489,102.89,295.6,1.0005,391.9646,1.0002,1,71.0481,2
19147,0.0711,5.42,2404.0,0.1724,1.4423,0.1868,0.2109,149.31,561.0,1.0006,550.0689,1.0005,1,55.4519,2
19169,0.0985,4.07,2689.0,0.228,1.2343,0.2563,0.2592,489.38,1321.31,1.0003,1319.2155,1.0005,2,37.4489,2
19202,0.1352,3.93,2594.0,0.22,1.3584,0.2492,0.204,412.9,1058.71,1.0003,669.9947999999999,1.0005,1,24.7865,2
19662,0.0984,4.2,2532.0,0.189,1.7049,0.2414,0.221,1744.5,5070.67,1.0002,3476.8016,1.0005,1,37.816,2
19892,0.0791,3.67,2220.0,0.376,1.8304,0.4708,0.363,67.5,182.25,1.0008,184.7569,1.0005,1,66.4655,2
20145,0.2492,3.81,2404.0,0.185,1.3,0.2826,0.1797,122.97,334.48,1.0002,286.6258,1.0005,3,43.1458,2
20273,0.1356,3.8,2410.0,0.297,1.6259,0.2894,0.353,92.002,248.404,1.0007,119.7144,1.0005,1,27.1351,2
20346,0.0589,4.25,2404.0,0.161,1.5784,0.2467,0.213,180.14,466.91,1.0002,482.1811,1.0005,1,47.5229,2
20367,0.1275,4.21,2404.0,0.249,1.3495,0.2253,0.2311,1442.14,3893.763,1.0002,2558.48,1.0005,1,35.618,2
20760,0.057,4.24,2696.0,0.295,2.1043,0.213,0.925,208.57,531.8,1.0004,588.853,1.0003,1,58.195,2
21132,0.0956,3.44,2572.0,0.223,2.0701,0.2582,0.2719,129.42,318.3,1.0009,254.9944,1.0005,1,31.3397,2
21558,0.091,3.48,2404.0,0.231,1.2718,0.29,0.289,98.02,242.17,1.0002,150.059,1.0005,1,29.5653,2
21569,0.0763,4.05,2467.0,0.2728,1.3428,0.3975,0.667,290.0,831.0,1.0002,729.1237000000001,1.0002,2,44.4656,2
21685,0.068,4.57,2516.0,0.181,1.295,0.1699,0.1793,89.67,292.5,1.0012,296.4345,1.0005,1,53.6562,2
21811,0.0635,5.4,2557.0,0.2269,1.5545,0.1889,0.2065,253.96,876.8,1.0006,763.2215,1.0005,3,49.5173,2
21884,0.0706,4.46,2404.0,0.2363,1.9365,0.3152,0.1666,1449.402,3913.387,1.0002,3812.4554,1.0005,1,46.3265,2
21920,0.0735,3.82,2504.0,0.2193,1.5598,0.3596,0.2972,977.93,2413.45,1.0008,1995.2365,1.0005,2,25.6749,2
22796,0.0527,4.07,2410.0,0.212,1.5284,0.2706,0.4884,214.063,570.986,1.0007,507.1873,1.0005,1,38.9485,2
22806,0.0935,4.64,2410.0,0.2284,1.203,0.2514,0.1862,89.4,237.98,1.0007,265.6765,1.0005,1,34.4112,2
22875,0.0475,3.28,2638.0,0.192,0.99,0.2132,0.3216,132.12,296.45,1.0003,303.3915,1.0005,1,26.1258,2
23146,0.1183,3.84,2533.0,0.21,1.2977,0.2923,0.27,552.5,1417.95,1.0012,1036.1517,1.0005,1,60.6217,2
23522,0.0604,4.14,2251.0,0.2177,0.9968,0.1792,0.335,329.69,1041.82,1.0012,819.1696000000001,1.0005,1,29.4276,2
23929,0.0533,4.16,2621.0,0.2139,1.2487,0.152,0.155,68.802,185.766,1.0007,196.8367,1.0005,1,28.7964,2
23939,0.187,4.36,2447.0,0.2197,1.4949,0.2627,0.247,786.09,2085.16,1.0005,1414.46,1.0005,1,31.7728,2
24059,0.0921,4.32,2455.0,0.1598,1.4223,0.2335,0.24,877.64,2356.11,1.0007,2104.3879,1.0005,2,39.4345,2
24285,0.0744,4.43,2404.0,0.2375,1.9626,0.3624,0.1728,1286.879,3447.11,1.0002,3354.3216,1.0005,1,48.4459,2
24355,0.0616,4.34,2557.0,0.235,1.2765,0.2266,0.2011,77.93,210.41,1.0005,248.7184,1.0005,1,50.5171,2
24359,0.0854,4.17,2557.0,0.205,1.56,0.1972,0.41,131.33,342.24,1.0006,409.3746,1.0,1,67.9026,2
25410,0.2125,4.44,2410.0,0.228,0.6827,0.2097,0.306,197.82,534.627,1.0007,889.2025,1.0005,1,32.4303,2
25425,0.1227,4.1,2404.0,0.249,1.2898,0.2596,0.3,4036.38,10898.26,1.0002,6231.5145,1.0005,1,32.7782,2
25570,0.0545,4.01,2432.0,0.196,1.1245,0.165,0.208,122.06,373.5,1.0012,323.3755,1.0005,1,19.2102,2
25875,0.0397,5.26,2619.0,0.1681,0.8,0.14,0.137,112.362,330.361,1.0011,504.2013,1.0005,1,49.35,1
25968,0.0925,4.32,2455.0,0.1598,1.4231,0.2316,0.24,909.13,2443.24,1.0007,2204.5475,1.0005,2,40.0561,2
26182,0.0953,4.06,2557.0,0.2531,1.3542,0.2085,0.22,220.27,575.71,1.0002,513.8247,1.0005,1,45.6244,2
26186,0.0355,5.27,2388.0,0.2034,1.5995,0.214,0.1491,61.5,168.8,1.001,284.0725,1.0005,2,43.7585,2
26261,0.1137,4.4,2404.0,0.1926,1.1808,0.181,0.2157,913.46,2466.35,1.0005,2283.0703000000003,1.0005,1,34.1205,2
26306,0.0672,5.58,2399.0,0.2314,1.2084,0.2403,0.267,170.65,681.3,1.0007,773.7478000000001,1.0005,1,73.745,2
26313,0.04,3.95,2628.0,0.2923,1.3543,0.2965,0.3422,279.85,815.64,1.0011,914.43,1.0005,1,67.2498,2
26341,0.0931,2.49,2601.0,0.16,1.2182,0.17,0.4535,162.3,425.2,1.0009,436.2369,1.0005,1,37.6542,1
26650,0.099,4.14,2623.0,0.2219,1.1534,0.2096,0.274,106.86,313.03,1.0002,248.543,1.0005,1,42.2082,2
26762,0.038,4.13,2442.0,0.319,1.3,0.4049,0.2407,93.8,270.75,1.0005,330.352,1.0005,1,49.938,2
26889,0.0606,5.44,2634.0,0.2825,1.2994,0.6465,0.181,114.888,427.894,1.0002,491.5614,1.0005,1,95.3573,2
27072,0.0517,4.54,2375.0,0.197,1.3265,0.2411,0.297,96.6,318.8,1.0012,336.2783,1.0005,1,41.7356,2
27299,0.0738,4.34,2514.0,0.1773,0.9917,0.2453,0.2385,142.07,381.71,1.0003,396.4562,1.0005,1,42.7232,2
27520,0.0748,4.37,2545.0,0.22,1.5184,0.2695,0.28,91.98,257.54,1.0001,289.5052,1.0005,1,35.7939,2
27642,0.0724,4.17,2421.0,0.2014,1.0483,0.177,0.301,159.6,476.3,1.0002,379.5956,1.0005,2,25.5617,1
27949,0.0915,4.03,2505.0,0.236,2.3373,0.3367,0.5161,90.1,236.21,1.0012,174.2485,1.0005,1,21.6317,2
28265,0.0535,4.41,2562.0,0.156,1.0263,0.138,0.21,99.27,300.48,1.0009,444.4545,1.0005,1,45.225,2
28294,0.0589,3.96,2505.0,0.195,1.3959,0.1968,0.3136,114.01,307.83,1.0007,345.8011,1.0005,1,35.0911,1
28295,0.0457,4.74,2389.0,0.387,1.8667,0.8217,0.234,141.18,405.19,1.0006,431.2633,1.0,2,133.3804,2
28640,0.057,4.12,2404.0,0.1919,1.5271,0.242,0.189,87.06,244.78,1.0002,184.883,1.0005,3,35.7726,2
28719,0.1848,3.71,2404.0,0.195,1.7265,0.237,0.499,118.33,319.49,1.0002,147.3702,1.0005,1,15.4815,2
28865,0.0464,4.75,2620.0,0.181,1.2221,0.2128,0.199,330.16,1056.75,1.0009,1310.6636,1.0002,1,59.098,2
29135,0.0787,4.08,2421.0,0.2018,1.0437,0.1777,0.301,186.9,533.4,1.0002,417.4643,1.0005,2,28.4563,1
29149,0.0628,3.57,2549.0,0.2625,1.3206,0.2234,0.3121,530.28,1255.0,1.0002,1088.1472,1.0005,2,36.0688,1
29178,0.0495,4.25,2404.0,0.172,1.8054,0.2156,0.172,94.31,254.63,1.0012,331.4105,1.0005,1,39.0734,2
29213,8.0201,4.13,2404.0,0.249,0.4203,0.2555,0.3053,4794.23,12926.5164,1.0002,7960.0224,1.0005,1,31.4766,2
29312,0.1424,3.95,2446.0,0.2072,1.3658,0.2166,0.2129,797.7,1980.7,1.0003,1801.4776,1.0005,1,28.4918,2
29418,0.095,3.73,2457.0,0.227,1.4362,0.2222,0.381,101.15,265.5,1.0008,268.55999999999995,1.0005,1,28.4936,2
29521,0.0508,3.4,2228.0,0.13,1.1,0.1116,0.101,524.46,1288.89,1.0003,1471.6592,1.0005,1,21.2182,1
29720,0.0644,4.02,2448.0,0.271,1.2351,0.191,0.271,86.158,232.625,1.0002,226.3956,1.0005,1,24.4124,2
29802,0.0859,5.39,2428.0,0.286,1.3005,0.2343,0.422,169.0,650.65,1.0012,415.0041,1.0005,1,41.228,1
30162,0.0677,5.07,2265.0,0.136,1.4404,0.1981,0.2146,93.3,325.1,1.0007,304.5423,1.0005,1,34.8287,2
30418,0.0634,5.05,2371.0,1.336,2.4935,1.2,1.449,69.08,207.24,1.001,250.5516,1.0005,1,212.9431,1
30773,0.0821,4.63,2533.0,0.198,1.1733,0.1888,0.261,85.67,291.278,1.0012,270.3679,1.0005,1,31.0242,2
30789,0.0794,3.67,2608.0,0.1881,1.1537,0.2329,0.1713,455.08,1160.86,1.0005,1059.8606,1.0005,1,30.8092,2
30828,0.0441,4.81,2388.0,0.517,1.4123,0.2218,0.158,105.7,285.39,1.001,356.6959,1.0005,2,42.8361,2
30862,0.1039,4.01,2403.0,0.247,1.2192,0.212,0.211,98.39,265.65,1.0012,239.1136,1.0005,1,19.7827,2
31162,0.0686,4.31,2495.0,0.242,1.6813,0.2483,0.423,120.7,334.73,1.0012,333.0214,1.0005,2,37.2679,2
31251,0.1515,3.94,2594.0,0.143,1.4164,0.2057,0.222,289.8,771.985,1.0003,957.5885,1.0005,1,39.9548,2
31271,0.0887,3.96,2603.0,0.3674,1.5239,0.267,0.256,315.95,857.93,1.0002,888.1013,1.0005,1,42.3829,2
31477,0.1589,4.02,2485.0,0.2704,1.2516,0.2348,0.2593,845.7906,2258.1857,1.0002,1566.3441,1.0005,1,26.5709,2
31566,0.0727,5.49,2547.0,0.183,1.3029,0.231,0.471,235.0,741.76,1.0003,714.7963,1.0005,2,33.7299,1
31645,0.0504,4.25,2399.0,0.2259,1.5,0.2053,0.216,108.83,293.84,1.0007,339.2796,1.0005,3,45.1563,2
31692,0.0734,4.67,2502.0,0.201,1.7699,0.195,0.7434,126.52,335.48,1.0009,454.0366,1.0,1,52.2012,2
31711,0.047,4.32,2564.0,0.336,3.0786,0.451,0.333,115.32,311.36,1.0012,447.493,1.0005,1,73.3299,1
31718,0.0697,4.4,2652.0,0.244,1.618,0.3046,0.6773,126.84,349.56,1.0009,439.6903,1.0,1,71.2707,2
31770,0.0738,4.49,2473.0,0.1877,1.3855,0.221,0.1669,143.35,387.05,1.0012,439.5162,1.0005,1,60.6424,2
32336,0.0441,4.43,2383.0,0.199,1.3093,0.2325,0.151,133.8,414.78,1.0012,425.1859,1.0005,1,31.0993,2
32507,0.0525,4.3,2355.0,0.257,1.0659,0.1981,0.189,69.897,188.723,1.0007,197.3475,1.0005,1,25.3025,2
32529,0.0504,3.82,2433.0,0.283,1.4,0.2102,0.214,137.73,332.69,1.0009,376.1896,1.0005,2,49.1915,2
32790,0.0477,4.74,2619.0,0.1667,0.8,0.14,0.137,149.712,415.661,1.0011,548.8133,1.0005,1,38.4547,1
32851,0.1256,4.36,2404.0,0.2325,1.5408,0.3765,0.3331,3033.54,8564.93,1.0002,5004.9734,1.0,2,39.1077,2
33051,0.3433,5.59,2404.0,0.1751,1.2785,0.2256,0.1143,1689.07,6145.91,1.0002,4738.146699999999,1.0005,1,47.0055,2
33216,0.0618,3.61,2617.0,0.2854,1.2855,0.1959,0.165,123.932,310.698,1.0002,291.5782,1.0005,2,32.1924,2
33621,0.1246,4.35,2229.0,0.52,1.3577,0.3559,0.389,54.1,154.3,1.0007,102.7804,1.0005,1,15.934,1
