,SUPERFICIE_VETRATA_OPACA,ALTEZZA_EDIFICIO,DEGREE_DAYS,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_SERRAMENTO,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_BASAMENTO,SUPERFICIE_NETTA,VOLUME_NETTO,NEW_CODE_PROVINCIA,SUPERFICIE_OPACA,ANNO_CODE,NUMERO_GENERATORI,ETH,CLASSE_ENERGETICA
893074,0.0802,4.07,2723.0,0.176,1.6,0.1906,0.14,85.43,218.17,1.0003,185.3298,1.0005,1,39.8511,2
893124,0.0745,4.04,2447.0,0.1152,1.492,0.2369,0.178,411.23,1110.32,1.0005,1096.6855,1.0005,1,31.1709,2
893550,0.0867,4.06,2594.0,0.114,1.3505,0.149,0.284,173.2,467.64,1.0003,508.1933,1.0005,1,22.1022,2
893862,0.106,4.49,2482.0,0.2349,1.2903,0.2504,0.1667,3321.26,9121.45,1.0005,7232.697,1.0005,5,47.3759,2
893969,0.1254,3.94,2404.0,0.2944,1.3663,0.2188,0.2177,2595.83,7153.87,1.0005,4798.5546,1.0005,2,22.6731,2
894165,0.0807,3.88,2879.0,0.204,1.0013,0.2459,0.178,151.16,399.82,1.0009,445.3793,1.0005,1,28.924,2
894963,0.0508,4.33,2471.0,0.2483,1.3925,0.2343,0.174,191.58,486.66,1.0008,620.0042,1.0005,1,35.4708,1
895096,0.0807,4.67,2533.0,0.198,1.3064,0.2376,0.3019,124.17,394.86,1.0012,474.3493,1.0005,1,59.4489,2
895407,0.096,4.52,2533.0,0.175,1.3121,0.1519,0.234,215.93,661.9,1.0012,693.529,1.0005,1,28.3829,2
895504,0.0586,3.99,2386.0,0.222,1.2245,0.2479,0.2926,154.8,425.2,1.0002,357.9339,1.0005,1,32.7556,2
895885,0.103,3.95,2418.0,0.2938,1.089,0.2455,0.3021,118.2,316.31,1.0009,248.491,1.0005,2,34.203,2
896476,0.1399,4.26,2755.0,0.3696,1.3862,0.2469,0.294,140.76,396.11,1.0004,474.4451,1.0002,1,47.8782,2
896821,0.1037,3.31,2557.0,0.23,1.6,0.3195,0.3163,2702.01,7295.45,1.0005,3843.8963,1.0005,3,18.5396,2
896878,0.0711,4.17,2686.0,0.249,1.212,0.2124,0.2077,300.71,786.06,1.0012,833.9829,1.0005,2,19.7031,1
897099,0.0536,4.01,2383.0,0.3675,1.6759,1.245,0.335,257.54,738.61,1.0007,908.3964,1.0002,1,75.5524,2
897172,0.0844,4.39,2421.0,0.287,1.4325,0.2053,0.204,79.7,215.3,1.0002,233.22510000000003,1.0005,2,55.6123,2
897208,0.1327,4.84,2471.0,0.2397,1.4939,0.2361,0.2082,143.57,379.66,1.0008,595.5073,1.0005,1,33.1867,2
897378,0.0718,3.92,3338.0,0.207,1.2901,0.1538,0.182,66.35,167.84,1.0012,209.8182,1.0005,2,47.3311,2
897446,0.0757,4.29,2619.0,0.225,1.5779,0.2558,0.253,108.57,294.22,1.0011,333.77430000000004,1.0005,2,49.5307,2
897451,0.1583,4.27,2526.0,0.3037,1.237,0.2105,0.233,1192.82,3220.62,1.0012,2305.3517,1.0005,2,21.6373,2
897755,0.1233,4.1,2404.0,0.3288,1.6875,0.3524,0.1961,3132.11,8515.32,1.0002,5190.6687,1.0005,1,32.3317,2
898022,0.1292,4.51,2389.0,0.2373,1.1722,0.2348,0.296,148.77,398.9,1.0006,457.1408,1.0002,1,49.9652,2
898196,0.0667,4.26,2506.0,0.247,1.618,0.2832,0.2144,215.98,628.38,1.0006,425.4133,1.0,2,39.8047,2
898204,0.0527,4.33,2389.0,0.168,1.2567,0.2239,0.174,75.75,204.53,1.0006,229.9273,1.0005,1,30.2428,2
898446,0.0633,4.71,2219.0,0.196,1.2772,0.2036,0.18,113.55,356.758,1.0003,354.8907,1.0005,1,35.2831,2
898918,0.0415,4.0,2410.0,0.23,1.3317,0.4195,2.065,193.12,499.1,1.0007,569.6785,1.0003,1,94.3925,2
898984,0.0788,3.76,2383.0,0.3194,1.1752,0.3058,0.2791,187.06,492.33,1.0007,409.3312,1.0005,2,35.2495,2
898994,0.1417,4.32,2404.0,0.3165,1.2215,0.2841,0.3396,3418.277,9229.346,1.0002,5609.280299999999,1.0005,2,37.0286,2
899118,0.1293,3.55,2447.0,0.297,1.3595,0.2461,0.29,1728.82,4667.68,1.0005,2884.5707,1.0005,4,28.0468,2
899189,0.0601,4.22,2557.0,0.185,1.3688,0.2802,0.199,283.0,849.0,1.0011,849.6399,1.0005,1,56.2753,2
899202,0.037,4.81,2562.0,0.2728,1.0847,0.3382,0.3095,162.3,415.5,1.0009,747.9639999999999,1.0005,2,76.8039,2
899252,0.1086,3.91,2363.0,0.2508,1.2304,0.2245,0.2378,296.2,766.9,1.001,735.9313999999999,1.0002,1,39.4433,2
899766,0.0583,4.7,2404.0,0.2353,1.719,0.3312,0.225,537.893,1575.855,1.0002,1379.7817,1.0005,1,51.4418,2
899946,0.0607,4.46,2601.0,0.191,1.2319,0.2003,0.224,146.403,417.248,1.0011,551.2673,1.0005,2,65.0836,2
900309,0.089,4.13,2547.0,0.164,0.8029,0.1738,0.219,112.0,302.4,1.0012,436.821,1.0005,1,32.4055,2
900389,0.0626,4.86,2499.0,0.1939,1.4774,0.2019,0.2289,411.11,1247.6,1.0012,1208.1874,1.0005,1,44.7095,2
900692,0.0744,3.79,2329.0,0.222,1.5582,0.2482,0.4622,199.25,514.8,1.0007,408.5156,1.0005,1,18.9437,2
900693,0.068,3.87,2437.0,0.159,1.1611,0.2023,0.232,223.6,588.5,1.0012,445.102,1.0005,1,28.4788,2
900757,0.0725,3.63,2383.0,0.3427,1.8606,0.769,0.3294,140.04,366.2,1.0007,277.8675,1.0005,1,33.5402,2
901398,0.0672,3.81,2386.0,0.208,1.4802,0.2049,0.3919,103.83,267.135,1.0004,306.3678,1.0005,1,27.8943,2
901992,0.0638,4.05,2404.0,0.68,1.9254,0.2243,0.4352,143.6,416.8,1.0002,225.92120000000003,1.0005,1,26.3696,1
902070,0.083,3.21,2404.0,0.176,1.4107,0.3205,0.907,69.423,171.367,1.0002,107.546,1.0005,1,14.0383,1
902559,0.0367,5.7,2619.0,0.1682,0.8,0.1457,0.122,102.737,325.607,1.0011,488.6603,1.0005,1,39.2027,1
902692,0.1559,4.12,2460.0,0.139,0.9515,0.141,0.307,150.67,409.59,1.0003,386.1241,1.0005,1,34.2878,2
902775,0.0555,4.75,2410.0,0.1958,0.9063,0.2341,0.73,189.47,492.35,1.0007,674.4844999999999,1.0005,2,37.7895,1
902833,0.1304,4.4,2603.0,0.214,1.1466,0.4166,0.3363,581.97,1670.77,1.0002,1540.6896,1.0005,2,56.3528,2
902840,0.0878,4.09,2228.0,0.257,1.2908,0.2523,0.2473,844.75,2288.92,1.0003,2066.0522,1.0005,1,23.2504,2
902949,0.0482,4.67,2759.0,0.2945,1.264,0.2208,0.2718,109.41,310.59,1.0009,403.6628,1.0005,2,69.7264,2
902981,0.1562,4.28,2482.0,0.407,1.3291,0.2403,0.2823,108.47,298.29,1.0005,260.1978,1.0005,2,58.9752,2
903144,0.105,4.34,2404.0,0.2009,1.0408,0.2978,0.286,849.62,2378.93,1.0002,1826.245,1.0005,3,41.6622,2
903382,0.0698,4.14,2637.0,0.126,1.2684,0.1818,0.1767,153.56,428.1,1.0003,490.4702,1.0005,1,27.8091,1
903433,0.09,3.93,2481.0,0.2518,1.3264,0.2228,0.2927,2351.0,6231.89,1.0005,5140.857,1.0005,1,34.1919,2
903634,0.0962,3.79,2549.0,0.2718,1.5277,0.3242,0.2637,195.6,520.55,1.0002,380.4558,1.0005,1,26.3361,2
903800,0.0894,3.78,2861.0,0.2014,1.7,0.196,0.22,1548.5,4181.08,1.0009,3422.5606,1.0005,2,16.7598,2
903805,0.088,3.84,2396.0,0.2103,1.3171,0.2292,0.3256,268.75,677.82,1.0012,624.3620000000001,1.0005,1,67.3957,2
904010,0.0701,4.11,2564.0,0.2208,1.225,0.1995,0.1855,418.14,1123.5,1.0012,1222.4599,1.0005,1,20.7224,2
904169,0.0921,3.69,2450.0,0.2348,1.4151,0.5079,0.18,345.54,851.93,1.0012,709.7079,1.0005,1,37.5163,2
904288,0.1725,4.07,2609.0,0.235,1.4213,0.221,0.213,87.7,249.98,1.0002,139.08749999999998,1.0005,2,34.6852,2
904342,0.1325,3.86,2512.0,0.219,1.5969,0.2507,0.4356,157.51,429.91,1.0009,476.2175,1.0002,1,60.6158,2
904697,0.1131,4.23,2404.0,0.1779,1.4362,0.1859,0.1951,1947.65,5248.88,1.0002,3426.5039,1.0005,2,28.0608,2
904848,0.1495,6.2,2479.0,0.205,1.4545,0.1806,0.164,226.04,818.21,1.0007,770.8505,1.0005,1,24.7998,1
904937,0.0687,3.87,2909.0,0.205,1.102,0.2073,0.545,156.07,433.87,1.0009,464.1113,1.0005,1,40.5912,2
904939,0.0805,3.05,2410.0,0.168,1.57,0.17,0.25,160.6,420.0,1.0007,394.3995000000001,1.0005,1,17.7521,2
905002,0.0791,3.87,2634.0,0.19,0.5843,0.1278,0.225,215.32,620.885,1.0002,589.5418999999999,1.0005,1,24.3447,2
905169,0.0741,3.96,2755.0,0.2476,1.4425,0.2456,0.155,95.48,257.79,1.0004,224.2487,1.0005,4,50.6558,2
905272,0.0744,3.97,2389.0,0.295,1.6957,0.2045,0.1938,120.957,326.3,1.0006,323.3966,1.0005,1,48.8743,2
905313,0.0464,4.17,2428.0,0.208,1.0603,0.172,0.239,206.61,557.85,1.001,601.7336,1.0005,1,36.9791,2
905543,0.0479,3.73,2553.0,0.3983,1.4114,0.4043,0.353,237.34,583.3,1.0007,538.7620999999999,1.0005,1,66.0352,2
905556,0.0409,4.15,2251.0,0.2735,1.3347,0.1961,0.3277,296.38,889.14,1.0007,820.0191,1.0005,1,44.466,2
905600,0.065,4.59,2506.0,0.1745,1.3191,0.2577,0.25,109.67,324.26,1.0009,380.7,1.0003,2,38.9669,2
905771,0.0594,4.4,2617.0,0.2183,1.474,0.2756,0.266,188.6,581.1,1.0002,675.0436,1.0005,1,57.3017,2
905800,0.1283,5.24,2510.0,0.1375,1.1284,0.1603,0.1347,187.1,563.06,1.0007,753.8817,1.0005,1,32.728,1
905902,0.0505,4.18,2446.0,0.2899,1.0,0.1646,0.4743,128.54,347.1,1.0008,475.4275,1.0005,2,42.8985,2
905964,0.075,4.02,2619.0,0.204,1.3234,0.171,0.181,195.88,568.0,1.0011,550.7349999999999,1.0005,1,38.0265,2
906033,0.0722,3.96,2408.0,0.2042,1.0379,0.1972,0.1287,214.99,595.0,1.0009,563.6478000000001,1.0005,2,41.915,2
906634,0.126,4.62,2701.0,0.1827,1.2046,0.1738,0.2527,204.01,661.766,1.0001,603.057,1.0005,1,33.3891,1
907099,0.1008,4.28,2229.0,0.2063,1.4074,0.2651,0.2351,1187.88,3178.82,1.0007,2852.3192,1.0005,3,36.8038,2
907198,0.0561,5.64,2237.0,0.23,1.2525,0.1595,0.187,65.12,175.82,1.0012,223.4539,1.0005,2,12.7859,2
907304,0.1961,3.6,2355.0,0.115,1.1415,0.3117,0.23,194.84,500.27,1.0007,598.0439,1.0005,1,46.0034,2
907370,0.0435,3.77,2595.0,0.4917,1.5029,0.4842,0.4653,214.6,524.7,1.0008,646.6565,1.0005,1,69.6649,2
907398,0.0579,4.03,2514.0,0.2256,1.5234,0.2562,0.3286,93.6,266.0,1.0003,344.3121,1.0005,1,64.7158,2
907450,0.0364,3.92,2365.0,0.64,1.4653,0.582,0.73,98.9,267.39,1.0012,440.1136,1.0005,2,136.6511,2
907648,0.0747,4.1,2702.0,0.252,1.3402,0.3172,0.1762,401.379,1117.398,1.0009,1159.7813,1.0005,1,65.6607,2
908134,0.082,4.05,2479.0,0.16,1.2407,0.1473,0.157,143.5,401.8,1.0012,513.199,1.0005,2,39.0182,2
908195,0.0997,4.0,2599.0,0.324,1.2712,0.3008,0.3111,768.623,2075.283,1.0002,1687.1873,1.0005,2,37.316,2
908232,0.1019,4.27,2404.0,0.181,1.2834,0.2338,0.1703,1432.359,3867.368,1.0002,3348.3681,1.0005,2,22.5057,2
908274,0.0507,5.51,2542.0,0.1797,0.9047,0.1595,0.1843,404.08,1362.52,1.0012,1334.1713,1.0005,1,51.7343,2
908375,0.1094,3.76,2404.0,0.77,1.7833,0.2,0.36,104.16,281.23,1.0002,200.6506,1.0005,1,33.8792,2
908948,0.1066,3.54,2631.0,0.239,1.2925,0.1686,0.159,237.01,619.28,1.0002,612.6394,1.0005,1,35.2986,2
908960,0.0738,4.11,2698.0,0.2346,1.2247,0.2105,0.2773,199.3,593.41,1.0012,685.2062,1.0005,2,31.818,2
908972,0.057,4.15,2723.0,0.3923,1.5474,0.3437,0.2519,225.08,591.7,1.0003,748.853,1.0005,1,47.7149,1
909211,0.1134,3.77,2419.0,0.219,0.8777,0.2547,0.514,139.47,367.51,1.0012,309.5536,1.0005,1,34.8345,2
909271,0.1058,4.39,2592.0,0.217,0.9465,0.1915,0.1635,283.445,765.302,1.0001,562.6242,1.0005,3,32.2342,2
909402,0.1195,4.23,2453.0,0.1792,1.453,0.2332,0.27,544.44,1524.69,1.0003,1100.7929,1.0002,1,31.5579,2
909639,0.0755,3.99,2409.0,0.2294,1.4441,0.2625,0.2253,148.11,358.44,1.0005,350.87850000000003,1.0005,2,44.2057,2
909716,0.0721,4.39,2243.0,0.2433,1.521,0.266,0.2834,150.96,412.71,1.0008,534.0479,1.0005,1,31.6388,2
911196,0.0708,3.98,2909.0,0.2,1.3352,0.2195,0.2836,66.94,170.15,1.0009,121.4592,1.0005,1,21.954,2
911258,0.0886,4.43,2570.0,0.27,1.0618,0.2531,0.259,182.92,493.17,1.0007,663.2163999999999,1.0005,1,37.2862,2
911291,0.0814,4.84,2389.0,0.145,1.1726,0.3099,0.2949,276.87,845.57,1.0007,649.0286,1.0005,3,42.509,2
911294,0.0601,4.04,2597.0,0.2153,1.4876,0.2603,0.2204,157.03,429.32,1.0007,470.8699,1.0005,1,43.0635,2
911384,0.094,3.77,3064.0,0.223,1.5034,0.3134,0.361,129.908,328.648,1.0004,306.023,1.0,1,31.6735,2
911462,0.1022,4.17,2457.0,0.2029,1.2837,0.2574,0.1825,257.1,683.7,1.0003,682.6664999999999,1.0005,1,43.1382,2
911495,0.0532,4.23,2446.0,0.2199,1.1255,0.2137,0.2881,214.01,612.29,1.0007,638.8698,1.0003,1,41.5869,2
911525,0.0562,4.29,2628.0,0.204,1.3586,0.2225,0.229,155.1,418.7,1.0011,658.4438,1.0005,2,49.134,2
911587,0.0964,4.77,2592.0,0.187,1.2464,0.2415,0.298,221.9,648.2,1.0001,640.2636,1.0002,2,43.9314,2
911616,0.0733,4.43,2404.0,0.2355,1.9226,0.3226,0.176,1802.438,4866.586,1.0002,4473.7407,1.0005,1,46.0793,2
911706,0.0681,3.87,2615.0,0.2763,1.2936,0.2395,0.4709,164.49,424.16,1.0003,435.5709,1.0005,1,46.3947,2
911766,0.072,4.26,2649.0,0.183,1.07,0.2511,0.18,123.77,334.18,1.0003,460.958,1.0005,1,31.0845,2
911979,0.0638,4.25,2533.0,0.277,1.5125,0.2186,0.2252,146.1,394.47,1.0012,360.5042,1.0005,1,23.7048,2
912290,0.0898,5.01,2410.0,0.2625,1.7329,0.139,0.343,645.45,2127.46,1.0007,1653.3202,1.0005,4,36.1356,2
912333,0.1013,3.79,3754.0,0.1696,1.785,0.1957,0.2474,171.14,403.89,1.0007,357.3987,1.0005,1,29.8881,2
912412,0.0374,4.07,2877.0,0.4129,1.5746,0.2747,0.293,185.218,517.49,1.0009,582.6715999999999,1.0005,1,50.2983,2
912505,0.1046,4.01,2352.0,0.204,1.2287,0.2308,0.1372,1237.18,3283.71,1.0009,2709.3454,1.0005,2,36.3083,1
912850,0.0621,3.66,2664.0,0.228,0.9176,0.2419,0.338,93.28,230.73,1.0003,225.3279,1.0005,1,27.0204,2
